"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AT1","AT2","AT3","AT4","AT5","AU1","AU2","AU3","AU4","AW1","AW2","AW3","GA1","GA2","GA3","GD1","GD2","GD3","GD4","GE1","GF1","MA1","MV1","MW1","MW2","MW3","MW4","OC1","REM","EQD"
"72243612906","2024-01-01T00:54:00","4","29.61667","-95.16667","9.8","HOUSTON ELLINGTON AFB, TX US","FM-15","99999","V020","140,1,N,0031,1","22000,5,9,N","016093,1,9,9","+0180,1","+0110,1","99999,9",,,,,,,,,,,,,,,,"2,99,1,+01524,1,9",,,,"9,AGL   ,+99999,+99999","04,99,5,99,9,99,9,01524,1,99,9,99,9","10190,1,99999,9",,,,,,,"MET051METAR KEFD 010054Z 14006KT 10SM SCT050 18/11 A3009=","D01      0ADE726"
"72243612906","2024-01-01T01:54:00","4","29.61667","-95.16667","9.8","HOUSTON ELLINGTON AFB, TX US","FM-15","99999","V020","130,1,N,0031,1","22000,5,9,N","016093,1,9,9","+0170,1","+0110,1","99999,9",,,,,,,,,,,,,,,,"2,99,1,+01524,1,9",,,,"9,AGL   ,+99999,+99999","04,99,5,99,9,99,9,01524,1,99,9,99,9","10186,1,99999,9",,,,,,,"MET051METAR KEFD 010154Z 13006KT 10SM SCT050 17/11 A3008=","D01      0ADE726"
"72243612906","2024-01-01T02:54:00","4","29.61667","-95.16667","9.8","HOUSTON ELLINGTON AFB, TX US","FM-15","99999","V020","130,1,N,0021,1","22000,5,9,N","016093,1,9,9","+0160,1","+0120,1","99999,9",,,,,,,,,,,,,,,,"1,99,1,+01524,1,9",,,,"9,AGL   ,+99999,+99999","02,99,5,99,9,99,9,01524,1,99,9,99,9","10193,1,99999,9",,,,,,,"MET051METAR KEFD 010254Z 13004KT 10SM FEW050 16/12 A3010=","D01      0ADE726"
"72243612906","2024-01-01T03:54:00","4","29.61667","-95.16667","9.8","HOUSTON ELLINGTON AFB, TX US","FM-15","99999","V020","110,1,N,0021,1","22000,5,9,N","016093,1,9,9","+0140,1","+0120,1","99999,9",,,,,,,,,,,,,,,,"2,99,1,+01097,1,9",,,,"9,AGL   ,+99999,+99999","04,99,5,99,9,99,9,01097,1,99,9,99,9","10196,1,99999,9",,,,,,,"MET051METAR KEFD 010354Z 11004KT 10SM SCT036 14/12 A3011=","D01      0ADE726"
"72243612906","2024-01-01T04:54:00","4","29.61667","-95.16667","9.8","HOUSTON ELLINGTON AFB, TX US","FM-15","99999","V020","999,9,C,0000,1","00975,1,9,N","016093,1,9,9","+0150,1","+0130,1","99999,9",,,,,,,,,,,,,,,,"3,99,1,+00975,1,9",,,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00975,1,99,9,99,9","10200,1,99999,9",,,,,,,"MET051METAR KEFD 010454Z 00000KT 10SM BKN032 15/13 A3012=",
"72243612906","2024-01-01T05:54:00","4","29.61667","-95.16667","9.8","HOUSTON ELLINGTON AFB, TX US","FM-15","99999","V020","999,9,C,0000,1","01097,1,9,N","009656,1,9,9","+0140,1","+0120,1","99999,9",,,,,,,,,,,,,,,,"2,99,1,+00762,1,9","3,99,1,+01097,1,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00762,1,99,9,99,9","10203,1,99999,9",,"10,1",,,,,"MET060METAR KEFD 010554Z 00000KT 6SM BR SCT025 BKN036 14/12 A3013=",
"72243612906","2024-01-01T06:54:00","7","29.61667","-95.16667","9.8","HOUSTON ELLINGTON AFB, TX US","FM-15","KEFD ","V020","999,9,C,0000,5","02134,5,M,N","008047,5,N,5","+0150,C","+0140,C","99999,9",,,,,,"0,0,00,1,0,1,5",,,,"10,5",,,"04,5,+01676,5,99,9","07,5,+02134,5,99,9",,"2,99,1,+01676,5,9","3,99,1,+02134,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,01676,1,99,9,99,9","10200,5,10188,5",,"10,1",,,,,"MET08101/01/24 00:54:02 METAR KEFD 010654Z 00000KT 5SM BR SCT055 BKN070 15/14 A3012 RMK","R01    157TMP046R02    147DPT046"
"72243612906","2024-01-01T07:54:00","7","29.61667","-95.16667","9.8","HOUSTON ELLINGTON AFB, TX US","FM-15","KEFD ","V020","999,9,C,0000,5","00152,5,M,N","003219,5,N,5","+0150,C","+0140,C","99999,9",,,,,,"0,0,00,1,0,1,5",,,,"10,5",,,"07,5,+00152,5,99,9","07,5,+00853,5,99,9",,"3,99,1,+00152,5,9","3,99,1,+00853,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00152,1,99,9,99,9","10196,5,10184,5",,"10,1",,,,,"MET08101/01/24 01:54:02 METAR KEFD 010754Z 00000KT 2SM BR BKN005 BKN028 15/14 A3011 RMK","R01    157TMP046R02    147DPT046"
"72243612906","2024-01-01T08:54:00","7","29.61667","-95.16667","9.8","HOUSTON ELLINGTON AFB, TX US","FM-15","KEFD ","V020","999,9,C,0000,5","00274,5,M,N","003219,5,N,5","+0160,C","+0150,C","99999,9",,,,,,"0,0,00,1,0,1,5",,,,"10,5",,,"07,5,+00274,5,99,9","07,5,+00640,5,99,9",,"3,99,1,+00274,5,9","3,99,1,+00640,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00274,1,99,9,99,9","10196,5,10184,5",,"10,1",,,,,"MET08101/01/24 02:54:02 METAR KEFD 010854Z 00000KT 2SM BR BKN009 BKN021 16/15 A3011 RMK","R01    167TMP046R02    157DPT046"
"72243612906","2024-01-01T10:54:00","7","29.61667","-95.16667","9.8","HOUSTON ELLINGTON AFB, TX US","FM-15","KEFD ","V020","200,5,N,0015,5","00305,5,M,N","002012,5,N,5","+0170,C","+0150,C","99999,9",,,,,,"0,0,00,1,0,1,5",,,,"10,5",,,"07,5,+00305,5,99,9","08,5,+00549,5,99,9",,"3,99,1,+00305,5,9","4,99,1,+00549,5,9",,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00305,1,99,9,99,9","10193,5,10181,5",,"10,1",,,,,"MET08501/01/24 04:54:02 METAR KEFD 011054Z 20003KT 1 1/4SM BR BKN010 OVC018 17/15 A3010 RMK","R01    177TMP046R02    157DPT046"
